,Zip_code,Date,median_price,Sale_count
167,97008,2010-12,239700.0,15.0
168,97005,2010-12,206600.0,16.0
169,97003,2010-12,195200.0,26.0
170,97006,2011-01,227800.0,21.0
171,97007,2011-01,250500.0,35.0
172,97008,2011-01,238100.0,17.0
173,97005,2011-01,205600.0,9.0
174,97003,2011-01,193600.0,15.0
175,97006,2011-02,226800.0,19.0
176,97007,2011-02,250200.0,30.0
177,97008,2011-02,237000.0,15.0
178,97005,2011-02,205200.0,10.0
179,97003,2011-02,192300.0,20.0
180,97006,2011-03,226500.0,30.0
181,97007,2011-03,250400.0,39.0
182,97008,2011-03,236700.0,20.0
183,97005,2011-03,205700.0,13.0
184,97003,2011-03,191800.0,26.0
185,97006,2011-04,225600.0,32.0
186,97007,2011-04,249600.0,45.0
187,97008,2011-04,235900.0,23.0
188,97005,2011-04,204600.0,11.0
189,97003,2011-04,190500.0,23.0
190,97006,2011-05,224500.0,39.0
191,97007,2011-05,248500.0,48.0
192,97008,2011-05,234300.0,24.0
193,97005,2011-05,201800.0,13.0
194,97003,2011-05,189100.0,20.0
195,97006,2011-06,223300.0,39.0
196,97007,2011-06,247100.0,51.0
197,97008,2011-06,232000.0,31.0
198,97005,2011-06,198700.0,25.0
199,97003,2011-06,187700.0,32.0
200,97006,2011-07,222100.0,23.0
201,97007,2011-07,245400.0,31.0
202,97008,2011-07,229800.0,18.0
203,97005,2011-07,196200.0,15.0
204,97003,2011-07,186700.0,24.0
205,97006,2011-08,220900.0,32.0
206,97007,2011-08,244400.0,51.0
207,97008,2011-08,228000.0,21.0
208,97005,2011-08,193600.0,17.0
209,97003,2011-08,185700.0,27.0
210,97006,2011-09,220300.0,24.0
211,97007,2011-09,244200.0,50.0
212,97008,2011-09,227100.0,28.0
213,97005,2011-09,191300.0,10.0
214,97003,2011-09,184300.0,23.0
215,97006,2011-10,220300.0,37.0
216,97007,2011-10,244200.0,45.0
217,97008,2011-10,227500.0,21.0
218,97005,2011-10,188800.0,11.0
219,97003,2011-10,182600.0,19.0
220,97006,2011-11,219800.0,31.0
221,97007,2011-11,244000.0,42.0
222,97008,2011-11,227600.0,28.0
223,97005,2011-11,186400.0,21.0
224,97003,2011-11,181200.0,15.0
225,97006,2011-12,219400.0,33.0
226,97007,2011-12,243900.0,42.0
227,97008,2011-12,227700.0,27.0
228,97005,2011-12,184500.0,12.0
229,97003,2011-12,180700.0,29.0
230,97006,2012-01,219800.0,16.0
231,97007,2012-01,243400.0,34.0
232,97008,2012-01,228100.0,16.0
233,97005,2012-01,183400.0,8.0
234,97003,2012-01,181200.0,17.0
235,97006,2012-02,220500.0,27.0
236,97007,2012-02,243400.0,45.0
237,97008,2012-02,228300.0,21.0
238,97005,2012-02,182800.0,12.0
239,97003,2012-02,182000.0,18.0
240,97006,2012-03,221200.0,30.0
241,97007,2012-03,243900.0,50.0
242,97008,2012-03,227900.0,29.0
243,97005,2012-03,182000.0,25.0
244,97003,2012-03,181700.0,27.0
245,97006,2012-04,222400.0,39.0
246,97007,2012-04,244400.0,39.0
247,97008,2012-04,227700.0,23.0
248,97005,2012-04,181200.0,22.0
249,97003,2012-04,181000.0,19.0
250,97006,2012-05,224600.0,36.0
251,97007,2012-05,245300.0,59.0
252,97008,2012-05,228300.0,30.0
253,97005,2012-05,180900.0,14.0
254,97003,2012-05,181300.0,26.0
255,97006,2012-06,227000.0,37.0
