,Unnamed: 0,Month,ZipCode,ZipName,Nielsen_HH_Rank,Hotness_Rank_County,Hotness_Rank_MoM,Hotness_Rank_YoY,Hotness_Score,Supply_Score,Demand_Score,Date,median_price,Sale_count
0,4046,201904,97005,"Beaverton, OR",3970,6.0,175.0,-1289.0,73.12583000000002,84.9117479597647,61.339912696906396,2019-04,353400.0,28.0
1,4681,201904,97007,"Beaverton, OR",1041,8.0,-633.0,-1763.0,68.406402,92.895552603277,43.91725185044599,2019-04,430000.0,83.0
2,6548,201904,97006,"Beaverton, OR",1238,2.0,-850.0,-599.0,82.384387,97.30499145948,67.4637818687923,2019-04,408100.0,66.0
3,13574,201904,97008,"Beaverton, OR",2955,1.0,372.0,-1080.0,84.94338,94.3632567849687,75.5235022458404,2019-04,422400.0,32.0
