,Zip_code,Date,Sale_count
198,97005,2011-06,25.0
199,97003,2011-06,32.0
200,97006,2011-07,23.0
201,97007,2011-07,31.0
202,97008,2011-07,18.0
203,97005,2011-07,15.0
204,97003,2011-07,24.0
205,97006,2011-08,32.0
206,97007,2011-08,51.0
207,97008,2011-08,21.0
208,97005,2011-08,17.0
209,97003,2011-08,27.0
210,97006,2011-09,24.0
211,97007,2011-09,50.0
212,97008,2011-09,28.0
213,97005,2011-09,10.0
214,97003,2011-09,23.0
215,97006,2011-10,37.0
216,97007,2011-10,45.0
217,97008,2011-10,21.0
218,97005,2011-10,11.0
219,97003,2011-10,19.0
220,97006,2011-11,31.0
221,97007,2011-11,42.0
222,97008,2011-11,28.0
223,97005,2011-11,21.0
224,97003,2011-11,15.0
225,97006,2011-12,33.0
226,97007,2011-12,42.0
227,97008,2011-12,27.0
228,97005,2011-12,12.0
229,97003,2011-12,29.0
230,97006,2012-01,16.0
231,97007,2012-01,34.0
232,97008,2012-01,16.0
233,97005,2012-01,8.0
234,97003,2012-01,17.0
235,97006,2012-02,27.0
236,97007,2012-02,45.0
237,97008,2012-02,21.0
238,97005,2012-02,12.0
239,97003,2012-02,18.0
240,97006,2012-03,30.0
241,97007,2012-03,50.0
242,97008,2012-03,29.0
243,97005,2012-03,25.0
244,97003,2012-03,27.0
245,97006,2012-04,39.0
246,97007,2012-04,39.0
247,97008,2012-04,23.0
248,97005,2012-04,22.0
249,97003,2012-04,19.0
250,97006,2012-05,36.0
251,97007,2012-05,59.0
252,97008,2012-05,30.0
253,97005,2012-05,14.0
254,97003,2012-05,26.0
255,97006,2012-06,37.0
256,97007,2012-06,60.0
257,97008,2012-06,33.0
258,97005,2012-06,28.0
259,97003,2012-06,28.0
260,97006,2012-07,34.0
261,97007,2012-07,57.0
262,97008,2012-07,23.0
263,97005,2012-07,22.0
264,97003,2012-07,22.0
265,97006,2012-08,38.0
266,97007,2012-08,64.0
267,97008,2012-08,32.0
268,97005,2012-08,21.0
269,97003,2012-08,34.0
270,97006,2012-09,30.0
271,97007,2012-09,64.0
272,97008,2012-09,21.0
273,97005,2012-09,21.0
274,97003,2012-09,21.0
275,97006,2012-10,50.0
276,97007,2012-10,62.0
277,97008,2012-10,31.0
278,97005,2012-10,16.0
279,97003,2012-10,22.0
280,97006,2012-11,29.0
281,97007,2012-11,50.0
282,97008,2012-11,24.0
283,97005,2012-11,16.0
284,97003,2012-11,15.0
285,97006,2012-12,24.0
286,97007,2012-12,49.0
287,97008,2012-12,20.0
288,97005,2012-12,20.0
289,97003,2012-12,27.0
290,97006,2013-01,26.0
291,97007,2013-01,43.0
292,97008,2013-01,18.0
293,97005,2013-01,13.0
294,97003,2013-01,19.0
295,97006,2013-02,27.0
296,97007,2013-02,25.0
297,97008,2013-02,15.0
298,97005,2013-02,12.0
299,97003,2013-02,18.0
300,97006,2013-03,33.0
301,97007,2013-03,55.0
302,97008,2013-03,27.0
303,97005,2013-03,18.0
304,97003,2013-03,21.0
305,97006,2013-04,51.0
306,97007,2013-04,68.0
307,97008,2013-04,30.0
308,97005,2013-04,21.0
309,97003,2013-04,26.0
310,97006,2013-05,61.0
311,97007,2013-05,91.0
312,97008,2013-05,42.0
313,97005,2013-05,20.0
314,97003,2013-05,44.0
315,97006,2013-06,69.0
316,97007,2013-06,96.0
317,97008,2013-06,39.0
318,97005,2013-06,22.0
319,97003,2013-06,42.0
320,97006,2013-07,72.0
321,97007,2013-07,66.0
322,97008,2013-07,42.0
323,97005,2013-07,36.0
324,97003,2013-07,40.0
325,97006,2013-08,49.0
326,97007,2013-08,77.0
327,97008,2013-08,45.0
328,97005,2013-08,30.0
329,97003,2013-08,39.0
330,97006,2013-09,56.0
331,97007,2013-09,70.0
332,97008,2013-09,34.0
333,97005,2013-09,17.0
334,97003,2013-09,30.0
335,97006,2013-10,40.0
336,97007,2013-10,55.0
337,97008,2013-10,28.0
338,97005,2013-10,22.0
339,97003,2013-10,27.0
340,97006,2013-11,46.0
341,97007,2013-11,52.0
342,97008,2013-11,23.0
343,97005,2013-11,19.0
344,97003,2013-11,26.0
345,97006,2013-12,32.0
346,97007,2013-12,57.0
347,97008,2013-12,31.0
348,97005,2013-12,22.0
349,97003,2013-12,24.0
350,97006,2014-01,25.0
351,97007,2014-01,41.0
352,97008,2014-01,20.0
353,97005,2014-01,11.0
354,97003,2014-01,28.0
355,97006,2014-02,28.0
356,97007,2014-02,42.0
357,97008,2014-02,16.0
358,97005,2014-02,14.0
359,97003,2014-02,17.0
360,97006,2014-03,35.0
361,97007,2014-03,48.0
362,97008,2014-03,27.0
363,97005,2014-03,20.0
364,97003,2014-03,30.0
365,97006,2014-04,59.0
366,97007,2014-04,69.0
367,97008,2014-04,26.0
368,97005,2014-04,22.0
369,97003,2014-04,35.0
370,97006,2014-05,57.0
371,97007,2014-05,72.0
372,97008,2014-05,39.0
373,97005,2014-05,21.0
374,97003,2014-05,39.0
375,97006,2014-06,66.0
376,97007,2014-06,88.0
377,97008,2014-06,40.0
378,97005,2014-06,36.0
379,97003,2014-06,47.0
380,97006,2014-07,65.0
381,97007,2014-07,86.0
382,97008,2014-07,45.0
383,97005,2014-07,37.0
384,97003,2014-07,41.0
385,97006,2014-08,49.0
386,97007,2014-08,81.0
387,97008,2014-08,41.0
388,97005,2014-08,31.0
389,97003,2014-08,41.0
390,97006,2014-09,46.0
391,97007,2014-09,77.0
392,97008,2014-09,42.0
393,97005,2014-09,21.0
394,97003,2014-09,44.0
395,97006,2014-10,68.0
396,97007,2014-10,68.0
397,97008,2014-10,35.0
398,97005,2014-10,32.0
399,97003,2014-10,46.0
400,97006,2014-11,39.0
401,97007,2014-11,60.0
402,97008,2014-11,23.0
403,97005,2014-11,24.0
404,97003,2014-11,25.0
405,97006,2014-12,37.0
406,97007,2014-12,70.0
407,97008,2014-12,39.0
408,97005,2014-12,24.0
409,97003,2014-12,41.0
410,97006,2015-01,41.0
411,97007,2015-01,57.0
412,97008,2015-01,22.0
413,97005,2015-01,18.0
414,97003,2015-01,26.0
415,97006,2015-02,39.0
416,97007,2015-02,58.0
417,97008,2015-02,18.0
418,97005,2015-02,15.0
419,97003,2015-02,29.0
420,97006,2015-03,55.0
421,97007,2015-03,92.0
422,97008,2015-03,39.0
